filename,label,font_inconsistency_score,ocr_text_mismatch_score,income_field_modified_flag,suspicious_overlay_flag,layout_anomaly_score,arithmetic_inconsistency_flag,pdf_object_anomaly_flag,metadata_anomaly_flag
01_clean_01.pdf,clean,0.00,0.02,0,0,0.00,0,0,0
02_clean_02.pdf,clean,0.05,0.04,0,0,0.05,0,0,0
03_income_changed.pdf,tampered,0.85,0.15,1,0,0.40,1,0,0
04_total_salary_changed.pdf,tampered,0.90,0.25,1,1,0.60,0,0,1
05_salary_and_total_disagree.pdf,tampered,0.10,0.05,0,0,0.10,1,0,0
06_income_zeroed.pdf,tampered,0.00,0.00,1,0,0.80,1,0,0
07_income_duplicated.pdf,tampered,0.70,0.40,0,1,0.85,0,1,0
08_arithmetic_inconsistency.pdf,tampered,0.15,0.05,0,0,0.15,1,0,0
09_high_income_outlier.pdf,tampered,0.00,0.00,1,0,0.00,0,0,0
10_low_income_outlier.pdf,tampered,0.00,0.00,1,0,0.00,0,0,0
